query	entrezgene	name	symbol	alias	taxid	HGNC
FAM175A	84142	abraxas 1, BRCA1 A complex subunit	ABRAXAS1	ABRA1, CCDC98, FAM175A	9606	HGNC:25829
EIF2C1	26523	argonaute RISC component 1	AGO1	EIF2C, EIF2C1, GERP95, NEDLBAS, Q99	9606	HGNC:3262
EIF2C2	27161	argonaute RISC catalytic component 2	AGO2	CASC7, EIF2C2, LESKRES, LINC00980, PPD	9606	HGNC:3263
FAM123B	139285	APC membrane recruitment protein 1	AMER1	FAM123B, OSCS, WTX	9606	HGNC:26837
FAM58A	92002	cyclin Q	CCNQ	CycM, FAM58A	9606	HGNC:28434
CDKN2BAS	100048912	CDKN2B antisense RNA 1	CDKN2B-AS1	ANRIL, CDKN2B-AS, CDKN2BAS, NCRNA00089, PCAT12	9606	HGNC:34341
FTSJD1	55783	cap methyltransferase 2	CMTR2	AFT, FTSJD1, HMTr2, MTr2	9606	HGNC:25635
RFWD2	64326	COP1 E3 ubiquitin ligase	COP1	CFAP78, FAP78, RFWD2, RNF200	9606	HGNC:17440
TCEB1	6921	elongin C	ELOC	SIII, TCEB1	9606	HGNC:11617
FLJ42627	645644	uncharacterized LOC645644	FLJ42627		9606	
C3ORF72	401089	FOXL2 neighbor	FOXL2NB	C3orf72	9606	HGNC:34428
HIST1H1C	3006	H1.2 linker histone, cluster member	H1-2	H1.2, H1C, H1F2, H1s-1, HIST1H1C	9606	HGNC:4716
HIST1H2BD	3017	H2B clustered histone 5	H2BC5	H2B.1B, H2B/a, H2B/b, H2B/g, H2B/h	9606	HGNC:4747
H3F3A	3020	H3.3 histone A	H3-3A	BRYLIB1, H3-3B, H3.3A, H3F3, H3F3A	9606	HGNC:4764
H3F3B	3021	H3.3 histone B	H3-3B	BRYLIB2, H3-3A, H3.3B, H3F3B	9606	HGNC:4765
HIST3H3	8290	H3.4 histone, cluster member	H3-4	H3.4, H3/g, H3C16, H3FT, H3t	9606	HGNC:4778
H3F3C	440093	H3.5 histone	H3-5	H3.3C, H3.5, H3F3C	9606	HGNC:33164
HIST1H3A	8350	H3 clustered histone 1	H3C1	H3/A, H3C10, H3C11, H3C12, H3C2	9606	HGNC:4766
HIST1H3H	8357	H3 clustered histone 10	H3C10	H3/k, H3C1, H3C11, H3C12, H3C2	9606	HGNC:4775
HIST1H3I	8354	H3 clustered histone 11	H3C11	H3.f, H3/f, H3C1, H3C10, H3C12	9606	HGNC:4771
HIST1H3J	8356	H3 clustered histone 12	H3C12	H3/j, H3C1, H3C10, H3C11, H3C2	9606	HGNC:4774
HIST2H3D	653604	H3 clustered histone 13	H3C13	H3C14, H3C15, HIST2H3D	9606	HGNC:25311
HIST2H3C	126961	H3 clustered histone 14	H3C14	H3, H3.2, H3/M, H3C13, H3C15	9606	HGNC:20503
HIST1H3B	8358	H3 clustered histone 2	H3C2	H3/l, H3C1, H3C10, H3C11, H3C12	9606	HGNC:4776
HIST1H3C	8352	H3 clustered histone 3	H3C3	H3.1, H3/c, H3C1, H3C10, H3C11	9606	HGNC:4768
HIST1H3D	8351	H3 clustered histone 4	H3C4	H3/b, H3C1, H3C10, H3C11, H3C12	9606	HGNC:4767
HIST1H3E	8353	H3 clustered histone 6	H3C6	H3.1, H3/d, H3C1, H3C10, H3C11	9606	HGNC:4769
HIST1H3F	8968	H3 clustered histone 7	H3C7	H3/i, H3C1, H3C10, H3C11, H3C12	9606	HGNC:4773
HIST1H3G	8355	H3 clustered histone 8	H3C8	H3/h, H3C1, H3C10, H3C11, H3C12	9606	HGNC:4772
MLL	4297	lysine methyltransferase 2A	KMT2A	ALL-1, ALL1, CXXC7, GAS7, HRX	9606	HGNC:7132
MLL2	9757	lysine methyltransferase 2B	KMT2B	CXXC10, DYT28, HRX2, MLL1B, MLL2	9606	HGNC:15840
MLL4	9757	lysine methyltransferase 2B	KMT2B	CXXC10, DYT28, HRX2, MLL1B, MLL2	9606	HGNC:15840
MLL3	58508	lysine methyltransferase 2C	KMT2C	HALR, KLEFS2, MLL3	9606	HGNC:13726
SETD8	387893	lysine methyltransferase 5A	KMT5A	PR-Set7, PR/SET07, SET07, SET8, SETD8	9606	HGNC:29489
C15ORF23	90417	kinetochore localized astrin (SPAG5) binding protein	KNSTRN	C15orf23, HSD11, ROCHIS, SKAP, TRAF4AF1	9606	HGNC:30767
LOC652276	652276	potassium channel tetramerization domain containing 5 pseudogene	LOC652276		9606	
MRE11A	4361	MRE11 homolog, double strand break repair nuclease	MRE11	ATLD, HNGS1, MRE11A, MRE11B	9606	HGNC:7230
MYCL1	4610	MYCL proto-oncogene, bHLH transcription factor	MYCL	L-Myc, LMYC, MYCL1, bHLHe38	9606	HGNC:7555
WHSC1	7468	nuclear receptor binding SET domain protein 2	NSD2	KMT3F, KMT3G, MMSET, RAUST, REIIBP	9606	HGNC:12766
WHSC1L1	54904	nuclear receptor binding SET domain protein 3	NSD3	KMT3F, KMT3G, WHISTLE, WHSC1L1, pp14328	9606	HGNC:12767
PAK7	57144	p21 (RAC1) activated kinase 5	PAK5	PAK7	9606	HGNC:15916
NCRNA00253	360205	PRAC2 small nuclear protein	PRAC2	C17orf93, HOXB-AS5, HOXB13-AS1, HOXBAS5, NCRNA00253	9606	HGNC:30143
PARK2	5071	parkin RBR E3 ubiquitin protein ligase	PRKN	AR-JP, LPRS2, PARK2, PDJ	9606	HGNC:8607
D5S346	7905	receptor accessory protein 5	REEP5	C5orf18, D5S346, DP1, POB16, TB2	9606	HGNC:30077
SOX2OT	347689	SOX2 overlapping transcript	SOX2-OT	NCRNA00043, SOX2OT	9606	HGNC:20209
FAM46C	54855	terminal nucleotidyltransferase 5C	TENT5C	FAM46C	9606	HGNC:24712
BAT-25						
BAT-26						
D17S250						
D2S123						
LOC80054						
NR-21						
NR-24						
