Sample	5' gene	5' chromosome	3' gene	3' chromosome	Reads
ICC24 	FGFR2 	10	PPHLN1 	12	149
ICC24 	FGD4 	12	TM9SF3 	10	10
ICC24	TM9SF3 	10	S100PBP 	1	26
ICC24	CHTOP 	1	INTS3 	1	14
ICC24	DCDC2 	6	GPLD1 	6	9
ICC12 	FGL1 	8	PCM1 	8	17
ICC16 	TMEM39A 	3	TOMMDC1 	3	16
ICC16 	SERINC2 	1	ENSG00000211459 	M	6
ICC8 	SPG7 	16	PNKP 	19	12
ICC10 	C16oRF13 	16	NARFL 	16	8
ICC14 	NTM 	11	ENSG00000198899 	M	6
ICC14 	RGS12 	4	METAP1 	4	6
ICC12 	LOC9610	22	IGLL5 	22	9
ICC14 	LOC9610	22	ENSG00000211678 	22	14
ICC8 	LOC9610	22	ENSG00000211678 	22	25
