File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c33ea7d1-28c1-46c6-a954-e75ec77a34ab	TCGA-CHOL.feba63a7-a670-475f-8077-9739e0bf30f8.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA30, TCGA-W5-AA30	TCGA-W5-AA30-01A, TCGA-W5-AA30-10A	Primary Tumor, Blood Derived Normal
3ff36281-b4f6-4b2d-abcf-a23df0d46023	TCGA-CHOL.5150963b-02e2-4715-bcfa-136a450b5547.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA2R, TCGA-W5-AA2R	TCGA-W5-AA2R-10A, TCGA-W5-AA2R-01A	Blood Derived Normal, Primary Tumor
fa07ed3b-28ee-48b9-adf0-458b67534c9b	TCGA-CHOL.503efef1-62b1-4f49-9696-0ad297b9139b.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-YR-A95A, TCGA-YR-A95A	TCGA-YR-A95A-10A, TCGA-YR-A95A-01A	Blood Derived Normal, Primary Tumor
ef95bfd3-ff6d-4902-b65f-8526d34d3d70	TCGA-CHOL.55309aec-7f38-461f-bb28-7ce97614827b.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-ZH-A8Y4, TCGA-ZH-A8Y4	TCGA-ZH-A8Y4-01A, TCGA-ZH-A8Y4-10A	Primary Tumor, Blood Derived Normal
a75acd2a-2e08-4559-a32d-061172a2d8cd	TCGA-CHOL.d42bef4d-57f2-4dc5-8a1f-7da3363da362.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA2X, TCGA-W5-AA2X	TCGA-W5-AA2X-10A, TCGA-W5-AA2X-01A	Blood Derived Normal, Primary Tumor
d85a41a3-8c43-43e4-b9d8-160b63285008	TCGA-CHOL.b3c68473-78a7-44d2-95bf-7997a7e6c0e8.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA33, TCGA-W5-AA33	TCGA-W5-AA33-10A, TCGA-W5-AA33-01A	Blood Derived Normal, Primary Tumor
30347b02-b585-40f9-a204-6ecfacdc0b1d	TCGA-CHOL.a9abae69-e82c-46f5-a1e4-6c8045c6a1de.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA2W, TCGA-W5-AA2W	TCGA-W5-AA2W-01A, TCGA-W5-AA2W-10A	Primary Tumor, Blood Derived Normal
b915c1a0-828c-49cc-b1d8-d7f856e955b0	TCGA-CHOL.2bb39c53-bb3f-49af-bf8a-41994a1e5287.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-ZD-A8I3, TCGA-ZD-A8I3	TCGA-ZD-A8I3-10A, TCGA-ZD-A8I3-01A	Blood Derived Normal, Primary Tumor
7ee97963-6da4-4cc3-9ff0-080bd8d7b0c6	TCGA-CHOL.fd7543b9-1dc4-455e-916e-ffce01532ee7.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA2T, TCGA-W5-AA2T	TCGA-W5-AA2T-10A, TCGA-W5-AA2T-01A	Blood Derived Normal, Primary Tumor
1c078960-6fc1-4ca6-947d-0c26645cf796	TCGA-CHOL.94a804fd-a6cd-44ab-9f2b-34df3e49ab6f.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA2G, TCGA-W5-AA2G	TCGA-W5-AA2G-01A, TCGA-W5-AA2G-10A	Primary Tumor, Blood Derived Normal
78383080-9822-4616-be0f-016022fcf801	TCGA-CHOL.b2d6a644-b31f-4fdd-96a2-91ee01ef3819.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-W5-AA2Z, TCGA-W5-AA2Z	TCGA-W5-AA2Z-01A, TCGA-W5-AA2Z-11A	Primary Tumor, Solid Tissue Normal
84dc69b4-b710-48de-ab14-4dc3af687e81	TCGA-CHOL.3e685778-e314-40de-a8e3-b506c8ba6039.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-3X-AAVC, TCGA-3X-AAVC	TCGA-3X-AAVC-01A, TCGA-3X-AAVC-10A	Primary Tumor, Blood Derived Normal
a73cd5c7-81d4-4628-8b51-e500b29fb4a1	TCGA-CHOL.f490c8ff-9017-446a-ae6e-3b198e7a5095.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-4G-AAZT, TCGA-4G-AAZT	TCGA-4G-AAZT-10A, TCGA-4G-AAZT-01A	Blood Derived Normal, Primary Tumor
f1390e3c-a724-43c5-b13d-72be9f4e4653	TCGA-CHOL.2bc50e9a-7ef6-4bc9-8821-2355cf3d52e0.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-WD-A7RX, TCGA-WD-A7RX	TCGA-WD-A7RX-10A, TCGA-WD-A7RX-01A	Blood Derived Normal, Primary Tumor
1ef2567e-c64c-4920-9cd2-1e96af860f64	TCGA-CHOL.537059bf-fb96-4455-ae2e-49e599683c51.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-ZH-A8Y8, TCGA-ZH-A8Y8	TCGA-ZH-A8Y8-10A, TCGA-ZH-A8Y8-01A	Blood Derived Normal, Primary Tumor
089ecd6c-f1a1-4983-a985-11c704f7c9aa	TCGA-CHOL.775f7a01-1e26-4bad-b2f4-e2ecf5947289.ascat3.gene_level_copy_number.v36.tsv	Copy Number Variation	Gene Level Copy Number	TCGA-CHOL	TCGA-ZH-A8Y1, TCGA-ZH-A8Y1	TCGA-ZH-A8Y1-01A, TCGA-ZH-A8Y1-10A	Primary Tumor, Blood Derived Normal
