Unique_Patient_Identifier	gene	copy
TCGA-W5-AA34	OR4F5	del
TCGA-W5-AA34	OR4F29	del
TCGA-W5-AA34	OR4F16	del
TCGA-W5-AA34	SAMD11	del
TCGA-W5-AA34	NOC2L	del
TCGA-W5-AA34	KLHL17	del
TCGA-W5-AA34	PLEKHN1	del
TCGA-W5-AA34	PERM1	del
TCGA-W5-AA34	HES4	del
TCGA-W5-AA34	ISG15	del
TCGA-W5-AA34	AGRN	del
TCGA-W5-AA34	RNF223	del
TCGA-W5-AA34	C1orf159	del
TCGA-W5-AA34	TTLL10	del
TCGA-W5-AA34	TNFRSF18	del
TCGA-W5-AA34	TNFRSF4	del
TCGA-W5-AA34	SDF4	del
TCGA-W5-AA34	B3GALT6	del
TCGA-W5-AA34	C1QTNF12	del
TCGA-W5-AA34	UBE2J2	del
TCGA-W5-AA34	SCNN1D	del
TCGA-W5-AA34	ACAP3	del
TCGA-W5-AA34	PUSL1	del
TCGA-W5-AA34	INTS11	del
TCGA-W5-AA34	CPTP	del
TCGA-W5-AA34	TAS1R3	del
TCGA-W5-AA34	DVL1	del
TCGA-W5-AA34	MXRA8	del
TCGA-W5-AA34	AURKAIP1	del
TCGA-W5-AA34	CCNL2	del
TCGA-W5-AA34	MRPL20	del
TCGA-W5-AA34	ANKRD65	del
TCGA-W5-AA34	TMEM88B	del
TCGA-W5-AA34	VWA1	del
TCGA-W5-AA34	ATAD3C	del
TCGA-W5-AA34	ATAD3B	del
TCGA-W5-AA34	ATAD3A	del
TCGA-W5-AA34	TMEM240	del
TCGA-W5-AA34	SSU72	del
TCGA-W5-AA34	FNDC10	del
TCGA-W5-AA34	MIB2	del
TCGA-W5-AA34	MMP23B	del
TCGA-W5-AA34	CDK11B	del
TCGA-W5-AA34	SLC35E2B	del
TCGA-W5-AA34	CDK11A	del
TCGA-W5-AA34	NADK	del
TCGA-W5-AA34	GNB1	del
TCGA-W5-AA34	CALML6	del
TCGA-W5-AA34	TMEM52	del
TCGA-W5-AA34	CFAP74	del
TCGA-W5-AA34	GABRD	del
TCGA-W5-AA34	PRKCZ	del
TCGA-W5-AA34	FAAP20	del
TCGA-W5-AA34	SKI	del
TCGA-W5-AA34	MORN1	del
TCGA-W5-AA34	RER1	del
TCGA-W5-AA34	PEX10	del
TCGA-W5-AA34	PLCH2	del
TCGA-W5-AA34	PANK4	del
TCGA-W5-AA34	HES5	del
TCGA-W5-AA34	TNFRSF14	del
TCGA-W5-AA34	PRXL2B	del
TCGA-W5-AA34	MMEL1	del
TCGA-W5-AA34	TTC34	del
TCGA-W5-AA34	ACTRT2	del
TCGA-W5-AA34	PRDM16	del
TCGA-W5-AA34	ARHGEF16	del
TCGA-W5-AA34	MEGF6	del
TCGA-W5-AA34	TPRG1L	del
TCGA-W5-AA34	WRAP73	del
TCGA-W5-AA34	TP73	del
TCGA-W5-AA34	CCDC27	del
TCGA-W5-AA34	SMIM1	del
TCGA-W5-AA34	LRRC47	del
TCGA-W5-AA34	CEP104	del
TCGA-W5-AA34	DFFB	del
TCGA-W5-AA34	C1orf174	del
TCGA-W5-AA34	AJAP1	del
TCGA-W5-AA34	NPHP4	del
TCGA-W5-AA34	KCNAB2	del
TCGA-W5-AA34	CHD5	del
TCGA-W5-AA34	RPL22	del
TCGA-W5-AA34	RNF207	del
TCGA-W5-AA34	ICMT	del
TCGA-W5-AA34	HES3	del
TCGA-W5-AA34	GPR153	del
TCGA-W5-AA34	ACOT7	del
TCGA-W5-AA34	HES2	del
TCGA-W5-AA34	ESPN	del
TCGA-W5-AA34	TNFRSF25	del
TCGA-W5-AA34	PLEKHG5	del
TCGA-W5-AA34	NOL9	del
TCGA-W5-AA34	TAS1R1	del
TCGA-W5-AA34	ZBTB48	del
TCGA-W5-AA34	KLHL21	del
TCGA-W5-AA34	PHF13	del
TCGA-W5-AA34	THAP3	del
TCGA-W5-AA34	DNAJC11	del
TCGA-W5-AA34	CAMTA1	del
TCGA-W5-AA34	VAMP3	del
TCGA-W5-AA34	PER3	del
TCGA-W5-AA34	UTS2	del
TCGA-W5-AA34	TNFRSF9	del
TCGA-W5-AA34	PARK7	del
TCGA-W5-AA34	ERRFI1	del
TCGA-W5-AA34	SLC45A1	del
TCGA-W5-AA34	RERE	del
TCGA-W5-AA34	ENO1	del
TCGA-W5-AA34	CA6	del
TCGA-W5-AA34	SLC2A7	del
TCGA-W5-AA34	SLC2A5	del
TCGA-W5-AA34	GPR157	del
TCGA-W5-AA34	H6PD	del
TCGA-W5-AA34	SPSB1	del
TCGA-W5-AA34	SLC25A33	del
TCGA-W5-AA34	TMEM201	del
TCGA-W5-AA34	PIK3CD	del
TCGA-W5-AA34	CLSTN1	del
TCGA-W5-AA34	CTNNBIP1	del
TCGA-W5-AA34	LZIC	del
TCGA-W5-AA34	NMNAT1	del
TCGA-W5-AA34	RBP7	del
TCGA-W5-AA34	UBE4B	del
TCGA-W5-AA34	KIF1B	del
TCGA-W5-AA34	PGD	del
TCGA-W5-AA34	CENPS-CORT	del
TCGA-W5-AA34	CENPS	del
TCGA-W5-AA34	CORT	del
TCGA-W5-AA34	DFFA	del
TCGA-W5-AA34	PEX14	del
TCGA-W5-AA34	CASZ1	del
TCGA-W5-AA34	C1orf127	del
TCGA-W5-AA34	TARDBP	del
TCGA-W5-AA34	MASP2	del
TCGA-W5-AA34	SRM	del
TCGA-W5-AA34	EXOSC10	del
TCGA-W5-AA34	MTOR	del
TCGA-W5-AA34	ANGPTL7	del
TCGA-W5-AA34	UBIAD1	del
TCGA-W5-AA34	DISP3	del
TCGA-W5-AA34	FBXO2	del
TCGA-W5-AA34	FBXO44	del
TCGA-W5-AA34	FBXO6	del
TCGA-W5-AA34	MAD2L2	del
TCGA-W5-AA34	DRAXIN	del
TCGA-W5-AA34	AGTRAP	del
TCGA-W5-AA34	C1orf167	del
TCGA-W5-AA34	MTHFR	del
TCGA-W5-AA34	CLCN6	del
TCGA-W5-AA34	NPPA	del
TCGA-W5-AA34	NPPB	del
TCGA-W5-AA34	KIAA2013	del
TCGA-W5-AA34	PLOD1	del
TCGA-W5-AA34	MFN2	del
TCGA-W5-AA34	MIIP	del
TCGA-W5-AA34	TNFRSF8	del
TCGA-W5-AA34	TNFRSF1B	del
TCGA-W5-AA34	VPS13D	del
TCGA-W5-AA34	DHRS3	del
TCGA-W5-AA34	AADACL4	del
TCGA-W5-AA34	AADACL3	del
TCGA-W5-AA34	PRAMEF12	del
TCGA-W5-AA34	PRAMEF1	del
TCGA-W5-AA34	PRAMEF11	del
TCGA-W5-AA34	HNRNPCL1	del
TCGA-W5-AA34	PRAMEF2	del
TCGA-W5-AA34	PRAMEF4	del
TCGA-W5-AA34	PRAMEF10	del
TCGA-W5-AA34	PRAMEF7	del
TCGA-W5-AA34	PRAMEF6	del
TCGA-W5-AA34	PRAMEF27	del
TCGA-W5-AA34	HNRNPCL3	del
TCGA-W5-AA34	PRAMEF25	del
TCGA-W5-AA34	HNRNPCL2	del
TCGA-W5-AA34	PRAMEF26	del
TCGA-W5-AA34	HNRNPCL4	del
TCGA-W5-AA34	PRAMEF9	del
TCGA-W5-AA34	PRAMEF13	del
TCGA-W5-AA34	PRAMEF18	del
TCGA-W5-AA34	PRAMEF5	del
TCGA-W5-AA34	PRAMEF8	del
TCGA-W5-AA34	PRAMEF33	del
TCGA-W5-AA34	PRAMEF15	del
TCGA-W5-AA34	PRAMEF14	del
TCGA-W5-AA34	PRAMEF19	del
TCGA-W5-AA34	PRAMEF17	del
TCGA-W5-AA34	PRAMEF20	del
TCGA-W5-AA34	LRRC38	del
TCGA-W5-AA34	PDPN	del
TCGA-W5-AA34	PRDM2	del
TCGA-W5-AA34	KAZN	del
TCGA-W5-AA34	TMEM51	del
TCGA-W5-AA34	FHAD1	del
TCGA-W5-AA34	EFHD2	del
TCGA-W5-AA34	CTRC	del
TCGA-W5-AA34	CELA2A	del
TCGA-W5-AA34	CELA2B	del
TCGA-W5-AA34	CASP9	del
TCGA-W5-AA34	DNAJC16	del
TCGA-W5-AA34	AGMAT	del
TCGA-W5-AA34	DDI2	del
TCGA-W5-AA34	RSC1A1	del
TCGA-W5-AA34	PLEKHM2	del
TCGA-W5-AA34	SLC25A34	del
TCGA-W5-AA34	TMEM82	del
TCGA-W5-AA34	FBLIM1	del
TCGA-W5-AA34	UQCRHL	del
TCGA-W5-AA34	SPEN	del
TCGA-W5-AA34	ZBTB17	del
TCGA-W5-AA34	SRARP	del
TCGA-W5-AA34	HSPB7	del
TCGA-W5-AA34	CLCNKA	del
TCGA-W5-AA34	CLCNKB	del
TCGA-W5-AA34	FAM131C	del
TCGA-W5-AA34	EPHA2	del
TCGA-W5-AA34	ARHGEF19	del
TCGA-W5-AA34	CPLANE2	del
TCGA-W5-AA34	FBXO42	del
TCGA-W5-AA34	SZRD1	del
TCGA-W5-AA34	SPATA21	del
TCGA-W5-AA34	NECAP2	del
TCGA-W5-AA34	NBPF1	del
TCGA-W5-AA34	CROCC	del
TCGA-W5-AA34	MFAP2	del
TCGA-W5-AA34	ATP13A2	del
TCGA-W5-AA34	SDHB	del
