variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
ADGRG4,AKAP6,533.42585089912,228.833112663459,0.001,13719.5714514855,0.999138483642857,0.692384687390027,0.00243142425425755,3.18820600633945,0.264168330205902,12.068842634749,530.094973779716,451.100307042025,8,3,3,261,275,276.97105969856,913.649522735676,56.9069530379309,593.412362822322,,34689.4248366408,3235.38356198523,40824.9517142438
ADGRG4,ANK2,384.302943344627,278.308856193573,0.001,0.001,0.983158204757974,0.962028487186978,0.945827311315052,2.23797570843396e-07,0.0699602361971428,3.19892531827295e-06,383.197178058182,272.964759214497,6,2,0,196,204,152.738186846457,778.79628885257,46.2760833109819,859.417714807039,,53613.2631906632,,14566.168330796
ADGRG4,ANK3,388.82789402786,465.557803897357,14169.7431413604,0.001,0.875458248111373,0.98686601656938,0.00704694914357449,2.92642273720195,0.326859545886967,8.95315059335593,530.094973780763,457.396656019705,8,4,3,260,275,177.678082305987,723.842369640872,200.029498226866,900.469752873869,3078.81879713175,53747.0618270086,,15216.3426739706
ADGRG4,APC,394.243723442639,1304.7990941516,5966.80379605597,0.001,0.839647360017748,0.988824986293653,0.0518572013374977,3.01320615562087,0.624760625873719,4.82297704245837,530.094973779591,1281.51260839281,8,11,3,253,275,180.150355805952,733.944695244456,734.989981920124,2112.79788759125,1428.02393105086,17008.5690632202,,23080.5497328635
ADGRG4,APOB,442.377146204339,418.150427252569,4673.36538681817,0.001,0.978439327045681,0.994993524833443,0.222915847443772,2.08291163973704,0.529411905650773,3.93438760538762,530.094973778983,410.700871896296,9,10,2,254,275,212.550682036078,797.572742260378,223.898208671202,701.391511345961,750.620917802002,15959.6083187963,,7815.40337279668
ADGRG4,ARID1A,344.002624429522,504.097180635351,9060.72734098556,0.001,0.946392990463002,0.990789089455148,0.00395049517942035,3.93578008857473,0.575018539455388,6.84461424896385,530.094973773883,497.143970419609,7,10,4,254,275,147.803185274904,665.353827944096,283.965908505878,816.232818462709,2682.82835625072,23494.8859357991,,12218.3354601729
ADGRG4,ARID1B,490.255028648568,657.412333342536,2748.12946913422,0.001,0.991903578391998,0.994757485814097,0.70228271756563,0.96499201034177,0.392229451851875,2.4602742241452,530.094973778821,643.302004239032,10,8,1,256,275,245.631947542658,859.978145067643,315.847362923461,1185.15447085443,153.235463516447,13479.5645870212,,11540.7187556125
ADGRG4,ARID2,439.639154704417,951.623023121765,6631.69094157861,0.001,0.78551213997136,0.978801211619451,0.122985804004505,2.22120404170046,0.417773283130553,5.31676900221103,530.094973777219,935.095676305746,9,8,2,256,275,211.239879860328,792.610868351309,476.804377791891,1669.25284971745,1064.45030892702,22753.8644955814,,20885.6074362438
ADGRG4,ASTN1,388.69271709713,230.851085703549,15010.6061589375,0.001,0.687300331280288,0.976359529742782,0.00515971660466943,3.12484174579199,0.339681710372032,9.19932292606966,530.094973780936,226.521752049661,8,4,3,260,275,177.617693539431,723.586718551514,99.1859937839052,446.498470959794,3395.44751826207,52457.5248637427,,7460.89741018636
ADGRG4,ATM,439.193202239879,596.759901148743,7114.91705501489,0.001,0.740516135154824,0.96948987319323,0.109147820410854,2.13904516061072,0.38188312594089,5.60130839858531,530.094973780936,585.099185757027,9,7,2,257,275,211.029324508523,791.819887140565,286.733412882272,1075.85901351062,1136.68308743616,24830.1726415847,,12990.0904073024
