variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
ADGRG4,AKAP6,318.178236838843,396.327393385899,17861.4039790124,6941.14939449466,0.950457641497095,0.986812132605353,0.000881344655335343,2.90814017055829,0.201304279722964,14.4464895359427,449.994941163077,480.065633951049,4,2,3,177,186,101.561983357484,714.428074463344,98.8342565753435,950.257068625638,446.238407457682,109939.598557248,,46755.5427191978
ADGRG4,ANK2,,,,,,,,,,,,,3,0,0,122,125,,,,,,,,
ADGRG4,ANK3,259.700176485791,598.866876064609,15985.0992449697,0.001,0.650814199066993,0.971996479256391,0.0026143609336855,2.91053528791468,0.266647184176721,10.9153047946148,449.994941164137,590.212840840834,4,3,3,176,186,80.6195523643393,603.364314631546,237.99894496147,1213.75253982755,3371.89672653073,68525.3283377934,,24103.826440732
ADGRG4,APC,262.54914862049,1483.15793842924,8267.23285424396,0.001,0.640123272321367,0.978298289253118,0.011590367107674,3.0733693398537,0.429925447343846,7.14860997142995,449.994941163974,1461.22095005612,4,7,3,172,186,81.5030963967978,609.993966325971,743.082614614878,2601.84340291948,1937.58052660713,25095.3233554816,,43187.6486814354
ADGRG4,APOB,457.520425454573,234.178372197091,0.001,5254.99250719509,0.986600923863292,0.951816107658349,0.0740682537311466,1.92039841703644,0.287076004912213,6.68951212980582,449.994941163005,322.59247649809,5,5,2,174,186,196.577643120082,885.010586196786,83.9726669402704,503.379441223216,,15939.8991478351,825.825077136848,19580.347402553
ADGRG4,ARID1A,329.472039564912,663.667674202893,4979.24891375531,0.001,0.857733818788258,0.98134439903501,0.13753618594197,2.12938122748829,0.437542076344377,4.86668904000975,449.994941164173,653.660759391572,5,9,2,170,186,118.139370396814,708.228930882183,344.572415012314,1136.84555666317,802.918231205259,16823.3208533638,,15710.4806703606
ADGRG4,ARID1B,458.05444591027,570.242133555649,0.001,5395.39959239757,0.98856186612567,0.958422024936847,0.502011293131177,0.936787373915795,0.250177760089461,3.74448701427661,449.994941165126,670.591842624791,6,5,1,174,186,196.802193480087,886.035569294099,204.473941500108,1225.76946567314,,13117.3163066903,299.599459067368,26742.6274841769
ADGRG4,ARID2,324.792169893199,842.717497207024,10936.8628871261,0.001,0.799762175534267,0.987917016664822,0.0364862841811751,2.12527418384558,0.237268691544257,8.9572466135894,449.994941164277,830.373433527241,5,4,2,175,186,116.464163754436,698.140197768224,334.928704776645,1707.80427495761,1698.40736372033,42970.668161991,,36973.9571588662
ADGRG4,ASTN1,259.970712532989,290.004713514822,15023.7912523692,0.001,0.331610636433273,0.945212536288384,0.002377340726024,3.27476493815755,0.30843463942867,10.6173708122524,449.994941162755,284.738088250136,4,4,3,175,186,80.7038333843683,603.988062575752,124.598669926388,560.942342355662,3397.01886717262,52499.4711668113,,8307.48031424386
ADGRG4,ATM,325.662663339044,798.413061511747,8976.428407193,0.001,0.648279335468011,0.970935026859701,0.0501996455028127,2.22366546579499,0.290390439965511,7.65750231329615,449.994941166419,784.83796130679,5,5,2,174,186,116.767238696751,699.964397295096,343.042670404749,1544.27280594112,1412.93458450872,33219.2760035581,,25204.3396639303
