variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A
pw.2698.tgs,pw.2310.tgs,7982.49417515009,1161.84487718539,6596.49850606337,0.001,0.929401013150326,0.609227176491105,0.0835804438860845,4.01399432323774,8.88962928012811,0.451536751055595,7941.43143791101,1054.10017481361,165,51,4,819,1039,6823.70968246647,9266.14896172326,881.055848241718,1496.85474639191,2029.73982643624,15600.4885344029,,1028.44305275526
pw.2698.tgs,pw.2753.tgs,7372.95692176528,1075.91090215494,21449.4870311796,0.001,0.221945170752458,0.384356914567601,0.167990988779015,18.8595899750854,14.3510170446157,1.31416400081283,7941.43143701624,983.203916344765,151,71,18,799,1039,6256.79039597997,8614.95048989735,867.356275721668,1315.53498037123,12780.7306507903,33774.590520137,,955.424424184845
pw.2698.tgs,pw.2227.tgs,6356.47609846081,771.280950161739,27447.5273933313,0.001,0.0189963288417529,0.208948447703297,0.000261925759959778,44.9478525135437,27.6577096896332,1.62514731038598,7941.43143872139,711.625808481682,126,128,43,742,1039,5308.5699469842,7534.73083949263,661.100547756402,893.105255762745,19730.316113002,37226.4508766669,,504.005681633419
pw.2698.tgs,pw.164.tgs,8081.99347484892,682.770250989563,5103.7296213118,0.001,0.561742377203792,0.444113083966073,0.00630383401288569,4.70725793220325,13.2091175363474,0.356364300586344,7941.43143774523,616.501813675063,164,76,5,794,1039,6904.90213204,9386.16200166332,544.521615301441,842.714373121613,1818.08638675913,11105.5561351003,,441.479858789764
pw.2698.tgs,pw.2499.tgs,7797.00522021854,649.101127077148,12377.5464180891,0.001,0.935474789545862,0.882032074221955,0.690583214539755,7.54299910559267,9.31567167615816,0.809710707698906,7941.43143859241,590.269408501306,161,50,8,820,1039,6651.93094865013,9067.04661428843,495.966673664427,830.943950354044,5574.79745747032,23611.0024207943,,751.369936148878
pw.2698.tgs,pw.3294.tgs,7832.79367067344,646.815004181773,10930.231197571,0.001,0.755270361728352,0.351630531111124,0.196271753936503,8.49990605252413,11.6981491972651,0.726602636809533,7941.43143787493,586.23571870608,161,64,8,806,1039,6682.42621269475,9108.76787766316,508.567685577502,808.170327549864,4935.83137273302,20751.1753717675,,497.173651979534
pw.2698.tgs,pw.1900.tgs,7707.7193447648,564.659174139397,13767.8037427996,0.001,0.651733853714758,0.530082941251453,0.480719226999044,11.0255428451603,12.3273441395249,0.894397261921918,7941.43143767179,513.049945412953,158,65,11,805,1039,6565.56738172285,8975.78863067897,446.933727759795,701.489247944146,7051.36321477303,24090.5784248466,,503.444133797165
pw.2698.tgs,pw.1779.tgs,7169.26299774157,539.431373801302,36582.459035038,0.001,0.0906050505272797,0.452324126627949,0.00215292542244539,20.3954145388047,10.1413984261093,2.01110474925196,7941.43143698853,492.810827814785,149,43,20,827,1039,6077.35975475627,8385.16037078145,416.874670970919,683.979917536646,22107.5955663412,57599.0781708517,,657.065595994321
pw.2698.tgs,pw.1364.tgs,7617.22925374263,483.115146979998,19564.0088436458,0.001,0.542611556895845,0.63816514996255,0.503429676605375,11.1589194592532,9.22644313312895,1.20944976284365,7941.43143550168,440.580405465599,158,46,11,824,1039,6488.68006866737,8870.10760309082,368.240412363446,619.746062968014,9952.27502716443,34618.8604512598,,597.995478055829
pw.2698.tgs,pw.2808.tgs,7750.77400668199,484.554596883803,12075.4202294951,0.001,0.741840052519011,0.527373709579844,0.35184954323351,10.7962721193599,13.5367344020774,0.79755366388093,7941.43143860724,439.047230849701,158,72,11,798,1039,6602.12354142636,9026.09788203307,387.542953849345,596.591094503966,6193.51595651579,21079.9554783416,,390.919876381023
pw.2698.tgs,pw.457.tgs,7786.10263490149,441.679500049528,14324.9042069633,0.001,0.592037450721388,0.442003306075894,0.429972511774352,7.50348458343765,8.10636980583607,0.925628211290783,7941.43143727168,400.052610185646,162,43,7,827,1039,6646.14972715408,9049.99445483186,330.234346781622,575.793935639938,6057.16682366369,28486.9267282655,,459.949849840467
pw.2698.tgs,pw.2179.tgs,7501.91946957832,457.092692823152,25121.3636319964,0.001,0.408073729468567,0.628117001902364,0.191819186958906,12.8607759607882,8.60726468322868,1.49417688825668,7941.43143776784,416.077225189459,156,40,13,830,1039,6383.89575454217,8744.13113025398,344.759208738465,591.559774101352,13480.2629611873,42991.2016808834,,616.572284747277
pw.2698.tgs,pw.1052.tgs,7468.95171303526,441.796163258524,17483.5279842137,0.001,0.327819965816019,0.366943434969464,0.32739602202982,16.9476469743452,15.2473936793921,1.1115110772834,7941.43143837881,401.010614242588,152,78,17,792,1039,6341.81379011585,8723.15033511561,358.70152428762,536.873683667098,10276.454661782,27761.8275358121,,346.06321326849
pw.2698.tgs,pw.11.tgs,7589.01020544048,435.678128927709,19318.9481857764,0.001,0.710094419382343,0.787077689151648,0.620180802231093,11.7804083423041,9.85051313763874,1.19591824077583,7941.43143626439,397.862592289839,157,49,12,821,1039,6461.22879651329,8841.45588159636,335.233636080583,554.457854385467,10146.6298988051,33393.9465186685,,563.886162078292
pw.2698.tgs,pw.2237.tgs,7878.72979310652,429.096521289099,9737.81362020919,0.001,0.872706425044502,0.314709350324227,0.123039290892709,7.45990737553401,11.3947203182529,0.654681042375753,7941.43143798582,387.925521542479,162,63,7,807,1039,6724.86468097894,9157.82343730242,336.176888213304,537.770370712924,4140.32568700047,19176.2708263015,,310.481965793952
pw.2698.tgs,pw.2146.tgs,7728.73655477678,411.551002207996,13794.9216495025,0.001,0.850549630586719,0.805242645311529,0.735626016081613,9.36190057280169,10.447375236655,0.896100729679464,7941.43143857623,373.218115523475,159,54,10,816,1039,6586.90438645939,8996.07316187535,318.712247969432,520.916021100515,6807.58734578387,24792.5468034781,,443.538769626207
pw.2698.tgs,pw.1438.tgs,7660.54948029712,363.694294601873,14903.5414132389,0.001,0.496405463549569,0.409011283648919,0.402601580883711,11.9214298157502,12.3545794220021,0.964940157697272,7941.43143642175,329.062811785052,157,64,12,806,1039,6522.04879187064,8925.17258729492,287.851939468286,451.848107491494,7863.60624214136,25562.428628463,,301.983266156421
pw.2698.tgs,pw.1750.tgs,7617.14199010055,374.343020621985,19604.9620630325,0.001,0.447394157700245,0.547295629461233,0.42787973689926,11.2409239751913,9.25420578091382,1.21468273359286,7941.43143844589,340.542752329187,158,46,11,824,1039,6488.56436514518,8869.9058927385,285.327517134728,480.210457562892,9982.02690268448,34647.0060985057,,433.104358223026
pw.2698.tgs,pw.1455.tgs,7828.86443862143,284.898154461258,11060.8780603768,0.001,0.766141944927932,0.422448589958007,0.243313224185778,8.10080373882146,11.0042169969826,0.73615448886938,7941.43143746032,257.613926580179,161,60,8,810,1039,6679.06772888624,9104.15256523879,222.384409937471,358.186608620313,4994.41142901136,21002.8512844357,,231.752955835276
pw.2698.tgs,pw.1320,8629.50258584525,1143.36659141575,15806.1017882091,0.001,0.578068529146859,0.395649825122485,0.38396012645808,6.57210517068954,7.14457623250938,0.919873335633963,8839.26456001639,1025.11435265017,111,35,6,513,665,7119.25789908974,10340.6480872561,827.922346587529,1530.44547365618,6168.95896638136,33113.935675673,,1183.00709683855
pw.2698.tgs,pw.167,8516.74427929333,1049.29867744016,21010.5043526431,0.001,0.551204186718782,0.613211698670727,0.550288635979467,7.65381448926696,6.59154419829212,1.1611565149256,8839.26456007659,950.071713531529,110,30,7,518,665,7020.00340929044,10213.3793661786,746.337536847496,1425.03300960374,8811.57663699227,42430.6859807013,,1509.88759610841
pw.2698.tgs,pw.3070,8625.38510325383,985.566459843979,15757.9405436558,0.001,0.709395967603423,0.597456860789322,0.580079326371058,5.75557097550483,6.23290763135931,0.923416696654883,8839.26455976294,878.780039459107,111,30,6,518,665,7115.65449147143,10335.4037688228,697.439000696361,1343.98180385643,6138.0392683607,33146.2550273572,,1221.9951407921
pw.2698.tgs,pw.1121,8514.52988580087,962.754301002578,21321.8411801242,0.001,0.455686457683943,0.515096474470851,0.455528162020518,7.4401743717933,6.27751933788822,1.18520931140551,8839.26456000703,866.505129188804,110,29,7,519,665,7018.18399025848,10210.8096198576,681.35968862565,1312.79620249039,8941.09723920247,43079.9208289354,,1264.37053916369
pw.2698.tgs,pw.1563,8931.12892482426,939.614113372256,6867.87910283898,0.001,0.869335111476244,0.543034132312398,0.054695873853919,3.85318350649235,8.93709062627176,0.431145175496532,8839.26456061094,838.722259311804,113,47,4,501,665,7380.68414864537,10686.497537763,704.502067527602,1222.19401386806,2110.84712065738,16265.923769495,,767.18087536612
pw.2698.tgs,pw.2642,8783.16081406356,935.433798583132,10817.8533086745,0.001,0.92717310189396,0.504149318266217,0.291693285346742,4.14389006374332,6.31579144552509,0.656115721914691,8839.26456048738,835.341691111636,113,32,4,516,665,7258.67395945503,10508.5221659513,661.994285429741,1275.61927296576,3308.2109010473,25920.7568052801,,992.069292901175
pw.2698.tgs,pw.1866,8700.88449913055,916.952437676392,13465.7739597391,0.001,0.772654086472851,0.513269687672556,0.429948569944712,5.12008410739647,6.40080445654097,0.799912595699478,8839.26456052749,820.115294491845,112,32,5,516,665,7184.68437341956,10418.3285865824,652.164547953889,1245.40926245682,4741.66065163752,29955.7971281625,,1037.67171420986
pw.2698.tgs,pw.735,8616.23564956737,915.018014564073,13394.0663027563,0.001,0.70184170043469,0.427036465863997,0.317717192773954,7.80186728720836,9.72345818138523,0.802375774304702,8839.26456004038,816.069090538253,109,48,8,500,665,7094.98877407237,10341.9596943004,695.501923829992,1176.66577915432,6025.53403762903,25600.1238104245,,784.062946290425
pw.2698.tgs,pw.686,8367.26792337255,929.360614512179,21363.1964087854,0.001,0.486568436261541,0.569650153284248,0.47334775742298,9.7056856346222,8.11461909261652,1.19607408848721,8839.26456019635,833.917088126081,107,36,10,512,665,6877.4697188611,10059.2272433628,685.742620468029,1224.999352571,10445.2100635426,39017.6774613928,,1105.77639353954
