variant_A,variant_B,ces_A0,ces_B0,ces_A_on_B,ces_B_on_A,p_A_change,p_B_change,p_epistasis,expected_nAB_epistasis,expected_nAB_null,AB_epistatic_ratio,ces_A_null,ces_B_null,nA0,nB0,nAB,n00,n_total,ci_low_95_ces_A0,ci_high_95_ces_A0,ci_low_95_ces_B0,ci_high_95_ces_B0,ci_low_95_ces_A_on_B,ci_high_95_ces_A_on_B,ci_low_95_ces_B_on_A,ci_high_95_ces_B_on_A,fdr
pw.2698.tgs,pw.2227.tgs,6356.47609846081,771.280950161739,27447.5273933313,0.001,0.0189963288417529,0.208948447703297,0.000261925759959778,44.9478525135437,27.6577096896332,1.62514731038598,7941.43143872139,711.625808481682,126,128,43,742,1039,5308.5699469842,7534.73083949263,661.100547756402,893.105255762745,19730.316113002,37226.4508766669,,504.005681633419,0.00103009458538803
pw.2698.tgs,pw.164.tgs,8081.99347484892,682.770250989563,5103.7296213118,0.001,0.561742377203792,0.444113083966073,0.00630383401288569,4.70725793220325,13.2091175363474,0.356364300586344,7941.43143774523,616.501813675063,164,76,5,794,1039,6904.90213204,9386.16200166332,544.521615301441,842.714373121613,1818.08638675913,11105.5561351003,,441.479858789764,0.00953681326534606
pw.2698.tgs,pw.1779.tgs,7169.26299774157,539.431373801302,36582.459035038,0.001,0.0906050505272797,0.452324126627949,0.00215292542244539,20.3954145388047,10.1413984261093,2.01110474925196,7941.43143698853,492.810827814785,149,43,20,827,1039,6077.35975475627,8385.16037078145,416.874670970919,683.979917536646,22107.5955663412,57599.0781708517,,657.065595994321,0.00422635509488959
pw.2698.tgs,pw.2062,8992.44393291139,844.722119343059,4557.04753035094,0.001,0.574904791386839,0.333240371594659,0.0285626455794535,1.97326740600337,6.74764461240103,0.29243795714683,8839.26456023917,749.766282132791,115,36,2,512,665,7444.16449899117,10742.9944448988,603.600678242518,1143.00573058677,751.881479125878,14359.7978086387,,690.270875145628,0.0319029072343299
pw.2310.tgs,pw.164.tgs,1027.47576255489,573.64828083511,1692.17874597231,2198.84470851258,1,1,0.0226783037298715,10.7560033776112,4.59053052946745,2.34308503310596,1054.10017478846,616.501813696382,44,70,11,914,1039,765.435392460377,1341.33762592589,450.291222875352,717.481313742215,,5423.30427527762,688.159100105677,4571.13525422764,0.0261414929694085
pw.2310.tgs,pw.2499.tgs,924.585504229523,606.124652327424,5699.03964759637,0.001,0.628801289716219,0.914674361757645,0.0401832906474933,8.35349964702536,3.29433195586444,2.53571885254453,1054.10017478114,590.269408506129,47,50,8,934,1039,684.777143719553,1214.77945744392,463.186037598824,775.839913548931,2562.95370939397,10897.6409953907,,2403.46800421334,0.0421654260605984
pw.2310.tgs,pw.1900.tgs,852.017880444146,525.433182715466,6606.04195365894,0.001,0.621325183109606,0.976028178159351,0.00209909083489814,12.4377632386342,4.29601145690135,2.895188563488,1054.10017478414,513.049945426329,43,64,12,920,1039,622.031401406268,1132.76231041116,415.945424075291,652.650053525874,3478.49670319807,11369.5066389653,,2102.30361990041,0.00414739195575857
pw.2310.tgs,pw.11.tgs,1001.61880439665,375.991460275632,2816.54285264297,1223.47487048546,0.976233554877988,0.96421800284044,0.0241709643454787,9.05551032685869,3.4603549462235,2.61693105695458,1054.10017480024,397.862592297329,46,52,9,932,1039,745.035931320668,1309.75588121421,284.224936093737,485.264672933022,,7604.16079579309,83.0494446427079,3069.79567345398,0.0276577293733106
pw.2310.tgs,pw.735,952.221758707741,839.312527957275,6063.21647284258,0.001,0.444759949931342,0.853418223767177,0.0385669202358536,8.76565865148579,3.58942474803688,2.44207895883035,1159.81064802028,816.069090541471,30,48,8,579,665,650.777927465675,1334.95689554152,638.129408225222,1078.96674130599,2721.27541333946,11636.0474590883,,3022.76815659383,0.0409281602502936
pw.2310.tgs,pw.195,967.799519819209,744.023949001029,8827.00596085663,0.001,0.60679507247289,0.983850038573639,0.0113297649278219,7.4657698061254,2.24680245475417,3.32284210849424,1159.81064804155,723.803655310342,31,27,7,600,665,665.804227032426,1349.72943751588,521.065713358043,1023.05312025774,3687.62924926353,17961.4329472104,,4649.47384145339,0.0151495142463447
pw.2310.tgs,pw.3059,1017.1870575482,708.091861716878,5397.39713118008,791.476851884909,0.747444483594274,0.999701257151335,0.0493457895572823,7.49589851254311,2.86984474636443,2.61195262288632,1159.81064802003,710.188543124913,31,37,7,590,665,700.661844527146,1416.59211370246,513.735050231813,945.209493834541,1655.77896120587,11908.1907298664,,4439.33157265468,0.0494514550595463
pw.2753.tgs,pw.2227.tgs,790.979986574967,740.153916144987,3125.39554005149,0.001,0.620582235003111,0.844762995955501,0.0496964488941889,23.6528935311066,15.0921174362537,1.56723492452348,983.203916359945,711.625808492643,66,148,23,802,1039,615.063409648958,997.673602065192,634.507984432942,856.971684672933,1996.49901252539,4642.64334352042,,1010.57775922927,0.0496964488941889
pw.2753.tgs,pw.3294.tgs,869.345473788569,572.865299715803,4456.8252143246,909.491484320807,0.733151427101038,0.992009150732604,0.000427283782298834,17.4074432525822,6.56844169497638,2.6501633204563,983.203916332115,586.235718704504,72,55,17,895,1039,684.798202781129,1084.08759766678,443.645065969394,724.101218661634,2076.27591940931,7925.03086500996,,2744.05308837239,0.00133312540077236
pw.2753.tgs,pw.1900.tgs,860.276499466611,533.496897024229,4230.7717429884,36.7371464323716,0.943480260646082,0.994496329911614,0.0267714997606383,14.0821944557638,6.91996457505119,2.03500961645597,983.203916369571,513.049945411923,75,62,14,888,1039,679.916599292739,1070.11362921554,422.002632059394,663.079672807362,2313.65318364752,7080.17873341226,,1377.83649601367,0.0302634345120259
pw.2753.tgs,pw.2237.tgs,1016.80134037555,317.586749850901,0.001,1955.42849436394,0.818739258689048,0.416124976988206,0.00362051350751608,15.0213864130947,6.38263169607183,2.35347849106498,983.203916366697,387.925521542044,74,55,15,895,1039,819.805174726683,1243.1295879899,240.851995106918,409.126190714084,,2496.93398434572,1107.77764954262,3191.29402589935,0.00613913159970118
pw.2753.tgs,pw.1750.tgs,1010.48348594876,286.967076915352,0.001,1490.23373347972,0.932094245396043,0.670203488877085,0.0448609452612563,11.0088814337461,5.21786039644826,2.10984591332489,983.20391633841,340.542752334615,78,46,11,904,1039,814.725118543494,1235.38234636008,211.808674197442,378.107913207926,,2915.53186796838,764.819830312426,2598.76072088807,0.046041496452342
pw.2753.tgs,pw.1320,830.350877556595,1067.97209134423,8235.12574431191,0.001,0.386943929739157,0.909283284325271,0.000296529463135421,12.7043283560634,3.86852138453897,3.28402691706392,1023.05338316018,1025.11435265506,46,29,12,578,665,612.848367129767,1094.13537541727,773.449789548777,1429.24694265296,4249.95842923682,14665.8720450549,,4366.17593535217,0.00109272274604234
