path_id	gene
pw.2227.tgs	TP53
pw.2698.tgs	KRAS
pw.11.tgs	ARID1A
pw.2310.tgs	PIK3CA
pw.2753.tgs	SMAD4
pw.164.tgs	BAP1
pw.1900.tgs	ATM
pw.1364.tgs	KMT2C
pw.164.tgs	PBRM1
pw.2753.tgs	BRAF
pw.457.tgs	APC
pw.2237.tgs	NF1
pw.1779.tgs	SF3B1
pw.2808.tgs	IDH2
pw.1750.tgs	ARID2
pw.2698.tgs	NRAS
pw.1438.tgs	GNAS
pw.1900.tgs	BRCA2
pw.1455.tgs	RASA1
pw.2499.tgs	FGFR2
pw.1455.tgs	ERBB4
pw.1750.tgs	ARID1B
pw.3294.tgs	ERBB3
pw.2146.tgs	FBXW7
pw.3294.tgs	ERBB2
pw.2179.tgs	TGFBR2
pw.2146.tgs	NSD1
pw.164.tgs	SETD2
pw.2808.tgs	KDR
pw.1750.tgs	SMARCA4
pw.2227.tgs	CTNNB1
pw.2499.tgs	NCOR1
pw.1900.tgs	BRCA1
pw.1052.tgs	ATR
pw.1438.tgs	RB1
pw.1779.tgs	RBM10
pw.2179.tgs	ARAF
pw.11.tgs	SPEN
pw.3294.tgs	PIK3R1
pw.1052.tgs	PTEN
pw.2146.tgs	NOTCH1
pw.2146.tgs	ATRX
pw.2146.tgs	BCOR
pw.1364.tgs	EP300
pw.2808.tgs	MAP2K4
pw.1052.tgs	RPTOR
pw.457.tgs	CDKN2A
pw.2237.tgs	IGF1R
pw.444	FBN1
pw.2753.tgs	TGFBR1
pw.1364.tgs	CREBBP
pw.2179.tgs	AXIN1
pw.2642	CENPF
pw.3294.tgs	MAP2K1
pw.1364.tgs	KDM6A
pw.2179.tgs	MSH6
pw.2237.tgs	PDGFRB
pw.1455.tgs	IRS2
pw.735	TPR
pw.2499.tgs	FGFR1
pw.2179.tgs	MSH2
pw.444	FN1
pw.3365	SPTBN1
pw.2310.tgs	MTOR
pw.2499.tgs	PRKN
pw.1779.tgs	ERCC3
pw.2808.tgs	ABL1
pw.1052.tgs	BARD1
pw.1052.tgs	TSC1
pw.1438.tgs	JAK3
pw.1438.tgs	NFE2L2
pw.1455.tgs	RET
pw.1866	TYK2
pw.686	CLTC
pw.1211	EDC4
pw.195	SYNPO2
pw.3294.tgs	JAK2
pw.1779.tgs	ERCC2
pw.2808.tgs	FLT1
pw.2808.tgs	ERG
pw.1052.tgs	PRDM1
pw.1052.tgs	CDK12
