path_id	top_genes	si	weighted_prop_msk	pathway_name	name_systematic	descrip	pw_rank	path_display_name	is_cancer_gene_path
pw.2698.tgs	KRAS, NRAS, RAC1	7941.43144729458	1	WP_RALA_DOWNSTREAM_REGULATED_GENES	M39408	RalA downstream regulated genes	1	KRAS|NRAS|RAC1 (P1)	TRUE
pw.2310.tgs	PIK3CA, MTOR, AKT1	1054.10016647837	1	WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALING	M39395	Sterol regulatory element-binding proteins (SREBP) signaling	2	PIK3CA|MTOR|AKT1 (P2)	TRUE
pw.1320	MOGS, UGGT1, MARCHF6	1025.11434741755	0	REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	M918	N-glycan trimming in the ER and Calnexin/Calreticulin cycle	3	MOGS|UGGT1|MARCHF6 (P3)	FALSE
pw.2753.tgs	SMAD4, BRAF, TGFBR1	983.2039077963	1	WP_REGUCALCIN_IN_PROXIMAL_TUBULE_EPITHELIAL_KIDNEY_CELLS	M39893	Regucalcin in proximal tubule epithelial kidney cells	4	SMAD4|BRAF|TGFBR1 (P4)	TRUE
pw.167	SLC4A7, KCNH8, SATB1	950.071707939463	0	chr3p24	M2406	Ensembl 109 genes in cytogenetic band chr3p24	5	SLC4A7|KCNH8|SATB1 (P5)	FALSE
pw.3070	GSS, GCLC, ANPEP	878.780033855461	0.0256410256410256	KEGG_GLUTATHIONE_METABOLISM	M1840	Glutathione metabolism	6	GSS|GCLC|ANPEP (P6)	FALSE
pw.1121	CROT, ACBD5, HACL1	866.505124309479	0	REACTOME_PEROXISOMAL_LIPID_METABOLISM	M2286	Peroxisomal lipid metabolism	7	CROT|ACBD5|HACL1 (P7)	FALSE
pw.1563	MCM8, PSMD3, PSMA5	838.722254943269	0	REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	M4138	Orc1 removal from chromatin	8	MCM8|PSMD3|PSMA5 (P8)	FALSE
pw.2642	CENPF, CEP192, KIF15	835.341686890977	0	WP_GASTRIC_CANCER_NETWORK_1	M39347	Gastric cancer network 1	9	CENPF|CEP192|KIF15 (P9)	FALSE
pw.686	CLTC, IPO5, POLR2B	833.917082643244	0	REACTOME_INFLUENZA_INFECTION	M4669	Influenza Infection	10	CLTC|IPO5|POLR2B (P10)	FALSE
pw.1866	TYK2, STAT4, HNRNPDL	820.115290652217	0	REACTOME_INTERLEUKIN_12_SIGNALING	M27894	Interleukin-12 signaling	11	TYK2|STAT4|HNRNPDL (P11)	FALSE
pw.735	TPR, NUP210, NUP98	816.0690860945	0	REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	M27041	Nuclear import of Rev protein	12	TPR|NUP210|NUP98 (P12)	FALSE
pw.1211	EDC4, EIF4G1, TUT4	795.588426343701	0	REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	M839	Deadenylation-dependent mRNA decay	13	EDC4|EIF4G1|TUT4 (P13)	FALSE
pw.2227.tgs	TP53, CTNNB1, EGFR	793.843791138078	1	WP_GASTRIC_CANCER_NETWORK_2	M39497	Gastric cancer network 2	14	TP53|CTNNB1|EGFR (P14)	TRUE
pw.444	FBN1, FN1, ITGB8	785.018875500627	0	PID_INTEGRIN5_PATHWAY	M212	Beta5 beta6 beta7 and beta8 integrin cell surface interactions	15	FBN1|FN1|ITGB8 (P15)	FALSE
pw.1622	POLR1A, H3C3, TAF1C	775.994884978249	0	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	M27691	RNA Polymerase I Promoter Escape	16	POLR1A|H3C3|TAF1C (P16)	FALSE
pw.1114	ARFGEF2, LONP2, FBXO4	772.34640026804	0	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	M3871	Association of TriC/CCT with target proteins during biosynthesis	17	ARFGEF2|LONP2|FBXO4 (P17)	FALSE
pw.185	TLR10, N4BP2, RBM47	767.246218674085	0	chr4p14	M7314	Ensembl 109 genes in cytogenetic band chr4p14	18	TLR10|N4BP2|RBM47 (P18)	FALSE
pw.2062	ALB, ABCC3, UGT3A1	749.766277943611	0	REACTOME_ASPIRIN_ADME	M45014	Aspirin ADME	19	ALB|ABCC3|UGT3A1 (P19)	FALSE
