sig_group	study	detected_samples	total_samples	detection_frequency
apobec	borad	0	1	0
apobec	chan-on	1	3	0.333333333333333
apobec	gao	1	5	0.2
apobec	jiao	0	1	0
apobec	jusakul_nakamura	117	215	0.544186046511628
apobec	nepal	3	4	0.75
apobec	sia	0	3	0
apobec	TCGA-CHOL	2	7	0.285714285714286
apobec	wardell	11	22	0.5
apobec	yale	8	13	0.615384615384615
apobec	zhang	22	60	0.366666666666667
apobec	zou	14	38	0.368421052631579
apobec	all	179	372	0.481182795698925
treatment	borad	1	1	1
treatment	chan-on	2	3	0.666666666666667
treatment	gao	3	5	0.6
treatment	jiao	0	1	0
treatment	jusakul_nakamura	97	215	0.451162790697674
treatment	nepal	3	4	0.75
treatment	sia	0	3	0
treatment	TCGA-CHOL	2	7	0.285714285714286
treatment	wardell	13	22	0.590909090909091
treatment	yale	10	13	0.769230769230769
treatment	zhang	28	60	0.466666666666667
treatment	zou	19	38	0.5
treatment	all	178	372	0.478494623655914
haloalkane	borad	1	1	1
haloalkane	chan-on	3	3	1
haloalkane	gao	0	5	0
haloalkane	jiao	0	1	0
haloalkane	jusakul_nakamura	68	215	0.316279069767442
haloalkane	nepal	1	4	0.25
haloalkane	sia	0	3	0
haloalkane	TCGA-CHOL	2	7	0.285714285714286
haloalkane	wardell	6	22	0.272727272727273
haloalkane	yale	2	13	0.153846153846154
haloalkane	zhang	38	60	0.633333333333333
haloalkane	zou	13	38	0.342105263157895
haloalkane	all	134	372	0.360215053763441
aflatoxin	borad	1	1	1
aflatoxin	chan-on	1	3	0.333333333333333
aflatoxin	gao	3	5	0.6
aflatoxin	jiao	1	1	1
aflatoxin	jusakul_nakamura	22	215	0.102325581395349
aflatoxin	nepal	1	4	0.25
aflatoxin	sia	0	3	0
aflatoxin	TCGA-CHOL	0	7	0
aflatoxin	wardell	1	22	0.0454545454545455
aflatoxin	yale	5	13	0.384615384615385
aflatoxin	zhang	11	60	0.183333333333333
aflatoxin	zou	15	38	0.394736842105263
aflatoxin	all	61	372	0.163978494623656
aristolochic	borad	0	1	0
aristolochic	chan-on	0	3	0
aristolochic	gao	1	5	0.2
aristolochic	jiao	0	1	0
aristolochic	jusakul_nakamura	11	215	0.0511627906976744
aristolochic	nepal	0	4	0
aristolochic	sia	0	3	0
aristolochic	TCGA-CHOL	1	7	0.142857142857143
aristolochic	wardell	1	22	0.0454545454545455
aristolochic	yale	0	13	0
aristolochic	zhang	5	60	0.0833333333333333
aristolochic	zou	20	38	0.526315789473684
aristolochic	all	39	372	0.104838709677419
