sig_group	cca_type	average_source_share	average_effect_share
apobec	iCCA	0.122561085017125	0.0758754391116151
apobec	pCCA	0.209862042398307	0.115389022436623
apobec	dCCA	0.217916989049785	0.121454075313787
treatment	iCCA	0.221053109939049	0.233703475289428
treatment	pCCA	0.212581423537046	0.240197052021329
treatment	dCCA	0.225848091130716	0.237548974770488
haloalkane	iCCA	0.176182734242937	0.160222550578423
haloalkane	pCCA	0.226649471614695	0.205190914060372
haloalkane	dCCA	0.115890918217245	0.139819649345128
aflatoxin	iCCA	0.214985533813825	0.228891380380171
aflatoxin	pCCA	0.141510901105184	0.217715603399807
aflatoxin	dCCA	0.120540079575597	0.170850000074837
aristolochic	iCCA	0.333460843944762	0.34644889853902
aristolochic	pCCA	0.209611627781026	0.303775109576648
aristolochic	dCCA	0.0698668572495677	0.0903657189483594
SBS1	iCCA	0.146254823491351	0.0533281582210609
SBS1	pCCA	0.205412752688723	0.0661448348755849
SBS1	dCCA	0.218039634263962	0.0722444166232945
SBS3	iCCA	0.0372996472471872	0.051163346078872
SBS3	pCCA	0.0327262616680526	0.0499040225932263
SBS3	dCCA	0.0462080444967232	0.0732741738656659
SBS4	iCCA	0.0167480131322742	0.0184960784799946
SBS4	pCCA	0.00943804796601375	0.0150274593144985
SBS4	dCCA	0.0147227968461408	0.0179357368014817
SBS5	iCCA	0.0749576102086168	0.0960092503256787
SBS5	pCCA	0.0415809244306019	0.0665825310904307
SBS5	dCCA	0.0670724543828912	0.112063656950867
SBS9	iCCA	0.00319271626588851	0.00602564341779716
SBS9	pCCA	0.00892396274700286	0.0168505555222123
SBS9	dCCA	0.000513545115965062	0.00126574402409518
SBS10a	iCCA	0.00134354381906066	0.00168733231069478
SBS10a	pCCA	0	0
SBS10a	dCCA	0	0
SBS10b	iCCA	0.00210490028207443	0.00186638803928244
SBS10b	pCCA	5.85933269618148e-06	8.05400368559138e-06
SBS10b	dCCA	0	0
SBS10c	iCCA	0.0206013087897611	0.0233391191422642
SBS10c	pCCA	0.0196643849946034	0.0281063046586347
SBS10c	dCCA	0.0123071717945116	0.0203227246610318
SBS10d	iCCA	0.0023580035068478	0.0025437352689966
SBS10d	pCCA	0.00101587641365532	0.00139421103346383
SBS10d	dCCA	0.00184539875339493	0.0021880322860166
SBS12	iCCA	0.0243534680307381	0.0330411935652493
SBS12	pCCA	0.0128528564962223	0.0241442509408833
SBS12	dCCA	0.00411388273587935	0.0102617466186949
SBS15	iCCA	0.0226791146984429	0.0207658791258249
SBS15	pCCA	0.0310764189552802	0.0281146635595419
SBS15	dCCA	0.0228615103044752	0.0176917315150055
SBS16	iCCA	0.0351588763448111	0.0347090672995643
SBS16	pCCA	0.023338158425046	0.0291688811773013
SBS16	dCCA	0.0155863420666872	0.0226044638949344
SBS17a	iCCA	0.00648407534727062	0.00877876788115422
SBS17a	pCCA	0.00976110720710643	0.0139083796780344
SBS17a	dCCA	0.00325431301949178	0.00689492924931846
SBS17b	iCCA	0.00674190176744301	0.0125286273681141
SBS17b	pCCA	0.0070769231056597	0.012206769612333
SBS17b	dCCA	0.00938095287350948	0.026261623920046
SBS18	iCCA	0.0223119559330731	0.0225181045460759
SBS18	pCCA	0.00965459332885027	0.0122530846316389
SBS18	dCCA	0.00931545317820731	0.0114550108910927
SBS20	iCCA	0.00618011821987393	0.0088058237713703
SBS20	pCCA	0.00461111394331113	0.00849962837626629
SBS20	dCCA	0.00736637396436294	0.00938965261861288
SBS21	iCCA	0.00269743499791374	0.00543425867838227
SBS21	pCCA	0.00247215594531672	0.00587852656645001
SBS21	dCCA	0.000163971080638566	0.000530174594762366
SBS28	iCCA	0.00353963517308294	0.00555739824394847
SBS28	pCCA	0.00364595871282481	0.00539149314353202
SBS28	dCCA	0.00207397185545753	0.00684057527581411
SBS29	iCCA	0.0114942896946469	0.0137840947378462
SBS29	pCCA	0.00596615113193401	0.00758851677774875
SBS29	dCCA	0.0116226000337394	0.0180972214604916
SBS38	iCCA	0.0042965786320227	0.00530853564156179
SBS38	pCCA	0.0203545487890128	0.0296549710202323
SBS38	dCCA	0.00231694176253166	0.00351930477707769
SBS40a	iCCA	0.0985073539202003	0.105543075643585
SBS40a	pCCA	0.0695372164686324	0.0836268089190477
SBS40a	dCCA	0.0381107514995308	0.0505962067317156
SBS40b	iCCA	0.00927374690098052	0.0140380599620135
SBS40b	pCCA	0.00689839107511931	0.0128840663670828
SBS40b	dCCA	0.0028603765297866	0.00655881884918641
SBS40c	iCCA	0.0362051577406249	0.0434009823031221
SBS40c	pCCA	0.0323440565992597	0.0440384472332961
SBS40c	dCCA	0.0218382792143787	0.0294498237243404
SBS44	iCCA	0.00224269990458881	0.00403206546048904
SBS44	pCCA	0.00524059369241142	0.0101197483104491
SBS44	dCCA	0.00287869704990793	0.00415649603280324
SBS96	iCCA	0.0157389328958475	0.0253803613585096
SBS96	pCCA	0.0125073933574534	0.0216101914473442
SBS96	dCCA	0.0140152537153489	0.0311700059791119
SBS97	iCCA	0.0224848596800437	0.0165304986962249
SBS97	pCCA	0.0144764717956801	0.0117478385183415
SBS97	dCCA	0.0192054022150826	0.0164140256892742
SBS98	iCCA	0.00943594581639125	0.016780767237764
SBS98	pCCA	0.00399128715043447	0.010616568594551
SBS98	dCCA	0.0119619840014424	0.020718397065957
