cca_type,signature,pval,fdr
IHC,apobec,2.79418678817769e-32,2.72433211847325e-31
PHC,apobec,1.76455570083951e-11,1.67632791579754e-10
DCC,apobec,2.7111349497986e-08,5.01559965712741e-07
panCCA,apobec,3.19491041731007e-49,4.1533835425031e-48
IHC,treatment,0.000108306161660289,0.000145653113956941
PHC,treatment,2.44276208138172e-05,4.64124795462527e-05
DCC,treatment,0.0567958347838143,0.0656701839687853
panCCA,treatment,1.06396710744844e-08,1.59595066117266e-08
IHC,SBS1,3.08267488584286e-39,1.20224320547871e-37
PHC,SBS1,5.38814030571869e-14,2.0474933161731e-12
DCC,SBS1,2.51695129351156e-08,5.01559965712741e-07
panCCA,SBS1,2.45878638605189e-58,9.58926690560238e-57
IHC,SBS2,2.14585025561961e-32,2.72433211847325e-31
PHC,SBS2,1.2041927954099e-11,1.52531087418588e-10
DCC,SBS2,6.53035371019366e-08,6.04057718192914e-07
panCCA,SBS2,1.05577626677151e-48,1.02938186010222e-47
IHC,SBS3,9.41832002844578e-32,7.34628962218771e-31
PHC,SBS3,7.79049220721842e-10,3.70048379842875e-09
DCC,SBS3,5.93442326343631e-06,1.8297805062262e-05
panCCA,SBS3,1.83523649153073e-44,1.43148446339397e-43
IHC,SBS4,1.39070169227491e-07,2.4653348181237e-07
PHC,SBS4,1.16328229967368e-06,2.60027808162351e-06
DCC,SBS4,0.00103903596349569,0.00183068241187335
panCCA,SBS4,6.67664113976705e-15,1.23994764024245e-14
IHC,SBS5,6.30628835054197e-34,1.22972622835568e-32
PHC,SBS5,5.23228037644021e-12,9.94133271523639e-11
DCC,SBS5,5.46516626104857e-08,6.04057718192914e-07
panCCA,SBS5,7.63311704094622e-51,1.48845782298451e-49
IHC,SBS9,1.7168799769622e-19,5.57985992512716e-19
PHC,SBS9,4.0032562049053e-06,8.45131865480008e-06
DCC,SBS9,0.00166169445798351,0.00256177895605791
panCCA,SBS9,2.42478598188347e-26,6.75476094953253e-26
IHC,SBS10a,1,1
PHC,SBS10a,,
DCC,SBS10a,,
panCCA,SBS10a,1,1
IHC,SBS10b,0.422678074170636,0.457901247018188
PHC,SBS10b,1,1
DCC,SBS10b,,
panCCA,SBS10b,0.583882420770365,0.632539289167896
IHC,SBS10c,7.39206157265426e-17,2.05921715238226e-16
PHC,SBS10c,8.71584939148146e-08,2.76001897396913e-07
DCC,SBS10c,4.10998002980643e-06,1.47647104484749e-05
panCCA,SBS10c,1.21400580611496e-27,3.85724076133515e-27
IHC,SBS10d,0.11287230793783,0.129471176752217
PHC,SBS10d,0.104184122023204,0.113114189625193
DCC,SBS10d,0.324165768727393,0.342689526940387
panCCA,SBS10d,0.835023946180496,0.856998260553667
IHC,SBS12,2.33710718219095e-23,8.28610728231335e-23
PHC,SBS12,7.61885536787812e-10,3.70048379842875e-09
DCC,SBS12,4.30125211914417e-05,9.36154872990202e-05
panCCA,SBS12,7.3619627582007e-35,2.87116547569827e-34
IHC,SBS13,2.15647055498035e-09,4.20511758221168e-09
PHC,SBS13,5.68743887312005e-05,0.00010291556056122
DCC,SBS13,4.05814617381215e-05,9.36154872990202e-05
panCCA,SBS13,3.34603127243401e-17,6.86816945394349e-17
IHC,SBS15,0.0102086972927837,0.0132713064806188
PHC,SBS15,0.0213893577667879,0.0253998623480607
DCC,SBS15,0.0440109840129515,0.0525292389832001
panCCA,SBS15,7.79794243054286e-05,9.50374233722411e-05
IHC,SBS16,0.418523895098813,0.457901247018188
PHC,SBS16,1.45444686669434e-05,2.90889373338867e-05
DCC,SBS16,9.30360311316933e-06,2.45880939419475e-05
panCCA,SBS16,5.52953796477039e-05,6.95651550406597e-05
IHC,SBS17a,3.885526299039e-09,7.215977412501e-09
PHC,SBS17a,0.000472772167271986,0.000690974706012902
DCC,SBS17a,0.00137783978700992,0.00221652487475509
panCCA,SBS17a,8.89935200285462e-14,1.57761240050605e-13
IHC,SBS17b,2.51573571749989e-12,6.13210581140599e-12
PHC,SBS17b,0.000105359175422415,0.000174071681132686
DCC,SBS17b,4.30125211914417e-05,9.36154872990202e-05
panCCA,SBS17b,2.10303099259166e-19,4.55656715061526e-19
IHC,SBS18,0.671682659362936,0.70798983013931
PHC,SBS18,0.000537904879043897,0.000757051311246967
DCC,SBS18,0.0399559406961387,0.0492789935252378
panCCA,SBS18,0.0113774599920532,0.0126777411340022
IHC,SBS20,0.0195274552556461,0.0245667985474257
PHC,SBS20,0.0383005285343547,0.0441036389183478
DCC,SBS20,0.105645429201877,0.11496708471969
panCCA,SBS20,0.000460723227207173,0.000528476642972934
IHC,SBS21,2.8888470075022e-05,4.17277901083651e-05
PHC,SBS21,0.00592153702414871,0.0075006135639217
DCC,SBS21,0.0360316862182336,0.0459714617267118
panCCA,SBS21,5.46516626104857e-08,7.89412904373683e-08
IHC,SBS22a,3.18893847812899e-07,5.40733046291437e-07
PHC,SBS22a,0.000104066805626927,0.000174071681132686
DCC,SBS22a,0.00048192889671816,0.000938493114661681
panCCA,SBS22a,1.29713317924305e-12,2.19948669523821e-12
IHC,SBS22b,5.57619585554637e-15,1.44981092244206e-14
PHC,SBS22b,3.82101653818264e-07,1.03713306036386e-06
DCC,SBS22b,0.0010970505857231,0.0018450396214434
panCCA,SBS22b,1.95033430265273e-23,5.0708691868971e-23
IHC,SBS24,4.54253932948697e-10,9.32415967631536e-10
PHC,SBS24,9.69962831312321e-07,2.45723917265788e-06
DCC,SBS24,2.95538969564609e-06,1.21499354154339e-05
panCCA,SBS24,1.66563265676723e-19,3.82115727140717e-19
IHC,SBS28,2.21186588734962e-10,4.79237608925751e-10
PHC,SBS28,0.000183975796089984,0.000291295010475808
DCC,SBS28,0.000726513880057952,0.00134405067810721
panCCA,SBS28,4.41955374604824e-16,8.61812980479408e-16
IHC,SBS29,5.40576133895066e-07,8.43298768876303e-07
PHC,SBS29,0.000225508415666031,0.000342772791812368
DCC,SBS29,0.00285989461438997,0.00423264402929716
panCCA,SBS29,7.0692515037609e-12,1.14875336936115e-11
IHC,SBS32,6.93704364042968e-05,9.66231078488419e-05
PHC,SBS32,0.00889565212392922,0.0109043477648165
DCC,SBS32,0.543376152192322,0.543376152192322
panCCA,SBS32,1.8270174513504e-05,2.45702346905743e-05
IHC,SBS38,0.0993544770890734,0.117418927468905
PHC,SBS38,1.1028253627439e-06,2.60027808162351e-06
DCC,SBS38,0.0136102252461699,0.0179849405038673
panCCA,SBS38,5.40680101891871e-07,7.5309014192082e-07
IHC,SBS40a,1.10611894348177e-10,2.53756698798758e-10
PHC,SBS40a,1.5004541529433e-07,4.38594290860348e-07
DCC,SBS40a,1.09988440734777e-06,5.8136747245525e-06
panCCA,SBS40a,5.78281299042355e-21,1.40956066641574e-20
IHC,SBS40b,5.37834911982428e-27,2.99650879533067e-26
PHC,SBS40b,3.70824691679791e-08,1.28103075307564e-07
DCC,SBS40b,8.80366976890794e-06,2.45880939419475e-05
panCCA,SBS40b,5.98429268135639e-38,2.91734268216124e-37
IHC,SBS40c,7.47860665664299e-26,3.64582074511346e-25
PHC,SBS40c,1.06659086971139e-10,8.10609060980656e-10
DCC,SBS40c,5.64472371695364e-07,3.48091295878808e-06
panCCA,SBS40c,2.45121448670288e-40,1.3656766425916e-39
IHC,SBS42,3.49577598331492e-07,5.68063597288675e-07
PHC,SBS42,0.126822836152987,0.130250480373338
DCC,SBS42,0.0111520404753966,0.0152824258366547
panCCA,SBS42,5.03826112134566e-05,6.54973945774935e-05
IHC,SBS44,0.0272676890597106,0.0332324960415223
PHC,SBS44,0.0775561667436655,0.086680421654685
DCC,SBS44,0.0591720678258594,0.0663444396835394
panCCA,SBS44,0.000439920856949826,0.00051990646730434
IHC,SBS86,7.8341596619637e-18,2.35024789858911e-17
PHC,SBS86,1.37079294556667e-08,5.20901319315335e-08
DCC,SBS86,0.000191146806818456,0.000392912880682382
panCCA,SBS86,1.28574692044505e-27,3.85724076133515e-27
IHC,SBS87,0.944580657979076,0.969438043715367
PHC,SBS87,0.120987362315579,0.127708882444222
DCC,SBS87,0.371254074212345,0.38156668738491
panCCA,SBS87,0.815295203499867,0.856998260553667
IHC,SBS96,3.49586357543667e-30,2.27231132403383e-29
PHC,SBS96,7.79049220721842e-10,3.70048379842875e-09
